timestamp,satellite,azimuth_deg,elevation_deg,distance_km,relative_velocity_kms,doppler_shift_hz,tx_freq_ghz,rx_freq_hz,ue_lat,ue_lon,ue_alt_m,time_minutes
2026-02-06T22:11:41+00:00,SAT-53469,21.966888364670876,40.092779816220265,821.8964001121988,-5.3214559610856185,186379.89749361537,10.5,10500186379.897493,47.655,-122.3035,60.0,1.5166666666666666
2026-02-06T22:11:42+00:00,SAT-53469,22.085427533529487,40.46839650427177,816.5892102401839,-5.289954925338389,185276.59797249828,10.5,10500185276.597973,47.655,-122.3035,60.0,1.5333333333333334
2026-02-06T22:11:43+00:00,SAT-53469,22.206790700239644,40.848377543317234,811.3134369539868,-5.2578281418287345,184151.3821178307,10.5,10500184151.382118,47.655,-122.3035,60.0,1.55
2026-02-06T22:11:44+00:00,SAT-53469,22.33108230173742,41.23277571374455,806.0697043238259,-5.225063150627252,183003.8135301794,10.5,10500183003.81353,47.655,-122.3035,60.0,1.5666666666666667
2026-02-06T22:11:45+00:00,SAT-53469,22.45841193233778,41.6216434459828,800.8586488464467,-5.19164729577515,181833.44894433295,10.5,10500181833.448944,47.655,-122.3035,60.0,1.5833333333333333
2026-02-06T22:11:46+00:00,SAT-53469,22.588894661258,42.01503273033074,795.6809196406242,-5.157567759665321,180639.83943347193,10.5,10500180639.839434,47.655,-122.3035,60.0,1.6
2026-02-06T22:11:47+00:00,SAT-53469,22.72265137429031,42.412995022321574,790.5371786083783,-5.122811621286484,179422.5324491255,10.5,10500179422.53245,47.655,-122.3035,60.0,1.6166666666666667
2026-02-06T22:11:48+00:00,SAT-53469,22.85980914282593,42.815581145328025,785.4281005381005,-5.087365822371936,178181.07063555723,10.5,10500178181.070635,47.655,-122.3035,60.0,1.6333333333333333
2026-02-06T22:11:49+00:00,SAT-53469,23.00050161948581,43.22284118302125,780.354373241442,-5.051217185724815,176914.99247159364,10.5,10500176914.992472,47.655,-122.3035,60.0,1.65
2026-02-06T22:11:50+00:00,SAT-53469,23.144869464391537,43.634824365058975,775.3166976719241,-5.0143524010101785,175623.83177300237,10.5,10500175623.831774,47.655,-122.3035,60.0,1.6666666666666667
2026-02-06T22:11:51+00:00,SAT-53469,23.29306080374371,44.051578942854,770.3157880577204,-4.976758094646536,174307.12014038934,10.5,10500174307.12014,47.655,-122.3035,60.0,1.6833333333333333
2026-02-06T22:11:52+00:00,SAT-53469,23.44523172638357,44.473152061778165,765.3523719647332,-4.9384208044801055,172964.38607218434,10.5,10500172964.386072,47.655,-122.3035,60.0,1.7
2026-02-06T22:11:53+00:00,SAT-53469,23.601546818677154,44.89958962157079,760.4271903849279,-4.899326982311434,171595.15505313367,10.5,10500171595.155052,47.655,-122.3035,60.0,1.7166666666666666
2026-02-06T22:11:54+00:00,SAT-53469,23.762179741780198,45.33093612638716,755.5409978221488,-4.859463024911159,170198.95064060343,10.5,10500170198.95064,47.655,-122.3035,60.0,1.7333333333333334
2026-02-06T22:11:55+00:00,SAT-53469,23.92731385681652,45.76723452625047,750.6945623470016,-4.818815310867468,168775.2957551334,10.5,10500168775.295755,47.655,-122.3035,60.0,1.75
2026-02-06T22:11:56+00:00,SAT-53469,24.097142902036367,46.208526049936246,745.888665614986,-4.777370180913668,167323.71199142546,10.5,10500167323.711992,47.655,-122.3035,60.0,1.7666666666666666
2026-02-06T22:11:57+00:00,SAT-53469,24.271871725523834,46.654850023452795,741.1241029042503,-4.7351139783629215,165843.72103453873,10.5,10500165843.721035,47.655,-122.3035,60.0,1.7833333333333334
2026-02-06T22:11:58+00:00,SAT-53469,24.45171708011305,47.10624367861828,736.4016831130177,-4.692033063898703,164334.8451779143,10.5,10500164334.845179,47.655,-122.3035,60.0,1.8
2026-02-06T22:11:59+00:00,SAT-53469,24.636908486672475,47.56274194861873,731.7222287422627,-4.6481138347628965,162796.60799542334,10.5,10500162796.607996,47.655,-122.3035,60.0,1.8166666666666667
2026-02-06T22:12:00+00:00,SAT-53469,24.82768917158209,48.02437724996861,727.0865758592513,-4.603342769929927,161228.53592355628,10.5,10500161228.535923,47.655,-122.3035,60.0,1.8333333333333333
2026-02-06T22:12:01+00:00,SAT-53469,25.02431708786286,48.49117925247911,722.4955740160264,-4.557706398498915,159630.15715438247,10.5,10500159630.157154,47.655,-122.3035,60.0,1.85
2026-02-06T22:12:02+00:00,SAT-53469,25.227066023996652,48.96317462843798,717.9500861994183,-4.511191401589968,158001.00520438928,10.5,10500158001.005205,47.655,-122.3035,60.0,1.8666666666666667
2026-02-06T22:12:03+00:00,SAT-53469,25.436226816471223,49.44038679320095,713.4509886794316,-4.4637845833957215,156340.61790058468,10.5,10500156340.6179,47.655,-122.3035,60.0,1.8833333333333333
