timestamp,satellite,azimuth_deg,elevation_deg,distance_km,relative_velocity_kms,doppler_shift_hz,tx_freq_ghz,rx_freq_hz,ue_lat,ue_lon,ue_alt_m,time_minutes
2026-02-06T21:29:19+00:00,SAT-58402,216.49282851890075,30.03486945107326,1011.7900806869794,-1.8871950958815078,66097.55508511102,10.5,10500066097.555084,47.655,-122.3035,60.0,6.2
2026-02-06T21:29:20+00:00,SAT-58402,216.0462166744239,30.115957627820066,1009.9079449007168,-1.8429584101957635,64548.19923140133,10.5,10500064548.199232,47.655,-122.3035,60.0,6.216666666666667
2026-02-06T21:29:21+00:00,SAT-58402,215.59721229711508,30.19546104111127,1008.0699272076907,-1.7984773883317096,62990.28569118623,10.5,10500062990.28569,47.655,-122.3035,60.0,6.233333333333333
2026-02-06T21:29:22+00:00,SAT-58402,215.14585187190636,30.27334836221946,1006.2762712890473,-1.7537562123862402,61423.960939189215,10.5,10500061423.96094,47.655,-122.3035,60.0,6.25
2026-02-06T21:29:23+00:00,SAT-58402,214.69217343773116,30.34958853231937,1004.5272166550478,-1.708799202132858,59849.37627215094,10.5,10500059849.376272,47.655,-122.3035,60.0,6.266666666666667
2026-02-06T21:29:24+00:00,SAT-58402,214.23621658980016,30.424150794251403,1002.8229985077621,-1.6636108311180091,58266.68837259107,10.5,10500058266.688372,47.655,-122.3035,60.0,6.283333333333333
2026-02-06T21:29:25+00:00,SAT-58402,213.7780224754264,30.4970047253474,1001.1638475877037,-1.618195692327918,56676.05810631546,10.5,10500056676.058105,47.655,-122.3035,60.0,6.3
2026-02-06T21:29:26+00:00,SAT-58402,213.3176337963677,30.568120269082776,999.5499900547159,-1.5725585511417814,55077.65237706115,10.5,10500055077.652376,47.655,-122.3035,60.0,6.316666666666666
2026-02-06T21:29:27+00:00,SAT-58402,212.85509479455624,30.637467769315275,997.9816473160366,-1.526704286008421,53471.64204874167,10.5,10500053471.642048,47.655,-122.3035,60.0,6.333333333333333
2026-02-06T21:29:28+00:00,SAT-58402,212.39045125100867,30.705018002144808,996.4590359135336,-1.480637925193238,51858.20323248092,10.5,10500051858.203232,47.655,-122.3035,60.0,6.35
2026-02-06T21:29:29+00:00,SAT-58402,211.92375047205635,30.770742209544235,994.9823673742899,-1.434364633328687,50237.51681555382,10.5,10500050237.516815,47.655,-122.3035,60.0,6.366666666666666
